Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Professional Cleaning & Hygiene,776094,5000185114948	,EASY CLEAN THICK BLEACH,3 x 5ltr,NA,£10.25,20.0%,In Stock,Musgrave Foodservice Ltd,www.ukconsumerinfo.comAn A.I.S.E. voluntary sustainability initiative - www.cleanright.eu,No
Professional Cleaning & Hygiene,799973,8006540345047	,BOLD LAV&CAMOMILE PODS 2X50,1 x 100pce,NA,£15.29,20.0%,In Stock,Galgorm Chemicals Ltd,Bold 3in1 Pods Washing Liquid Capsules Lavender & Camomile 100 Washes,No
Professional Cleaning & Hygiene,286564,7615400739318	,COMFORT PROF LILY & RICEFLOWER,1 x 5ltr,£9.53,£3.99,20.0%,In Stock,Comfort,Comfort Pro Formula Professional Lily & Riceflower 5L,No
Professional Cleaning & Hygiene,286563,7615400739318	,COMFORT PROF LILY & RICEFLOWER,2 x 5ltr,£9.53,£7.98,20.0%,In Stock,Comfort,Comfort Pro Formula Professional Lily & Riceflower 5L,No
Professional Cleaning & Hygiene,695425,7615400076352	,COMFORT SUNSHINE,1 x 5ltr,£9.53,£3.99,20.0%,In Stock,Comfort,NA,No
Professional Cleaning & Hygiene,119708,5011888005334	,COMFORT FABRIC CONDITIONER REG,2 x 5ltr,£9.53,£7.98,20.0%,In Stock,DIVERSEY IRELAND,Comfort Professional Original 5L,No
Professional Cleaning & Hygiene,777533,5027279001618	,TEEPOL ALCOHOL HAND SANITISER,1 x 500mls,£8.95,£4.85,20.0%,In Stock,Teepol,Teepol Alcohol Hand Sanitizer 500ml,No
Soft Drinks,435440,5011026008104	,CLUB ORANGE BOTTLE,24 x 500mls,£1.49,£18.69,20.0%,In Stock,Club,Club Orange Bottle 500ml,No
Fresh & Chilled Goods,764420,3523230052726	,MAESTRELLA DICED MOZZARELLA CHEESE,4 x 2.5kgm,NA,£51.96,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Professional Cleaning & Hygiene,603889,5011888005334	,COMFORT FABRIC CONDITIONER REG,1 x 5ltr,£9.53,£3.99,20.0%,In Stock,DIVERSEY IRELAND,Comfort Professional Original 5L,No
Fresh & Chilled Goods,764421,3523230052726	,MAESTRELLA DICED MOZZARELLA CHEESE,1 x 2.5kgm,NA,£12.99,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Frozen Goods,792359,5099556024078	,BIG AL'S MAC N'CHEESE POPS,4 x 1kgm,NA,£33.96,0.0%,In Stock,KEPAK CONVENIENCE FOODS,NA,No
Professional Cleaning & Hygiene,777532,5027279001618	,TEEPOL ALCOHOL HAND SANITISER,10 x 500mls,£8.95,£45.75,20.0%,In Stock,Teepol,Teepol Alcohol Hand Sanitizer 500ml,No
