Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Frozen Goods,570691,146314	,M/E BRIOCHE BUN FRZN 4.5IN/11.5CM,40X85GRM,NA,£9.99,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Excellence Brioche Style Bun,No
Frozen Goods,757920,5000116111190	,B/EYE BEEF Q/POUNDER 2.99,1 x 454grm,£2.50,£2.15,0.0%,In Stock,Musgrave Retail Partners,For a Sustainable TomorrowMaking a Difference with Responsibly Sourced and Prepared Food Every Daybirdseye.co.uk/our-sustainable-path,No
Frozen Goods,916550,5029328010008	,MCWHINNEYS G/F PORK SAUSAGES,1X4.54LBR,NA,£19.99,0.0%,In Stock,McWhinneys,NA,No
Frozen Goods,740638,144350	,SANTA MARIA TORTILLA FRZN 6IN/15CM,15X10PCE,NA,£11.99,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Frozen Goods,916324,145935	,HOT DOG BRIOCHE ROLL,32X90GRM,NA,£9.95,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Frozen Goods,693750,5391528040100	,B/NINO 15CM FRY BLUE C/TORT,1 x 144pce,NA,£15.25,0.0%,In Stock,Blanco Nino,NA,No
Retail Grocery,756266,5000232901552	,BATCHELORS SMALL PEAS,24 x 300grm,£0.55,£8.99,0.0%,In Stock,SHS Distributors,"To see how versatile peas are, go to www.batchelorspeas.co.uk",No
Packaging & Disposables,791905,5391519827840	,BAGASSE LUNCH BOX 2-COMPARTMENT 1L,1 x 50pce,NA,£11.25,20.0%,In Stock,Catering Disposables Ltd,NA,No
Alcohol & Tobacco,778835,5000435014295	,RIVERSTONE RYO NI,5X30GRM,£13.65,£53.39,20.0%,In Stock,Imperial Tobacco Ltd,Riverstone Easy Rolling Including Cigarette Papers 30g,No
Retail Grocery,116922,5011009305206	,MCKINNEYS ICING SUGAR,12 x 500grm,£1.00,£7.99,0.0%,In Stock,McKinney's,For more recipes please visit: www.mckinneys.co.uk,No
Retail Grocery,426241,5000354203466	,SHARWOODS KORMA 1.79,6 x 420grm,£1.79,£6.39,0.0%,In Stock,Premier Foods UK Ltd,Sharwood's Cooking Sauce Korma 420g,No
Catering Dry Goods,556521,5018010001783	,DAVINCI HAZELNUT SYRUP,6 x 1ltr,NA,£29.33,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"For full range visit davincigourmet.comWant more inspiration & recipes?Follow us on: Facebook, Twitter and Instagram",No
Catering Dry Goods,556527,5018010001745	,DAVINCI CARAMEL SYRUP,6 x 1ltr,NA,£28.35,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"For full range visit davincigourmet.comWant more inspiration & recipes?Follow us on: Facebook, Twitter and Instagram",No
Retail Grocery,789644,78876501327	,NAMBARRIE TEABAGS,4 x 100pce,£3.69,£9.99,0.0%,In Stock,R.TWINING & CO LTD,"Northern Ireland Children's Hospice - Supported by NambarrieWe are supporting Northern Ireland Children's HospiceBy purchasing this pack you are helping fund a nurse who will care for over 300 local children and young people with life-limiting conditions who use the Children's Hospice every year. Thank you.For more info or to donate visit www.nihospice.orgEthical Tea PartnershipWe care about the communities where our tea is grown and picked and this is why we are a founder member of the Ethical Tea Partnership, which works to improve tea workers welfare and the environment in which they  live.",No
Fresh & Chilled Goods,392346,5028330000083	,KERRYMAID BURGER CHEESE SLICES,8X1.4KGM,£9.65,£55.79,0.0%,In Stock,Kerrymaid,Kerrymaid Perfect Melt Original Slices 1.4kg,No
Fresh & Chilled Goods,494031,501038610259	,NATURAL YOGHURT,1 x 2.2kgm,NA,£3.05,0.0%,In Stock,Dromona Quality Foods,Rowan Glen Fresh Natural Low Fat Yogurt 2.25kg,No
Catering Dry Goods,530751,5000354162152	,HARTLEYS BREAKFAST MARMALADE,1X3.1KGM,NA,£7.19,0.0%,In Stock,Hartley's,Hartley's Breakfast Medium Cut Marmalade 3.18kg,No
Frozen Goods,661560,5099839651014	,M/E SKIN ON FRIES 9-10X9-10MM,1 x 2.5kgm,NA,£2.95,0.0%,In Stock,Ardovries Shearway Ltd,Musgrave Excellence Potato Fries Skin On 2.5kg,No
Retail Grocery,767455,5011022002410	,PANDA SMOOTH PEANUT BUTTER,12 x 340grm,£2.00,£17.49,0.0%,In Stock,Panda,Panda American Style Smooth,No
Retail Grocery,779487,5391535690107	,CALI CALI BAJA BUFFALO CHIPOTLE,12X235GRM,£1.59,£14.39,0.0%,In Stock,Boyne Valley Foods Limited,Cali Cali Baja Chipotle Salsa 235g,No
Retail Grocery,767454,5011022002427	,PANDA CRUNCHY PEANUT BUTTER,12 x 340grm,£2.00,£17.49,0.0%,In Stock,Panda,Panda American Style Crunchy,No
Catering Dry Goods,556526,5018010001783	,DAVINCI HAZELNUT SYRUP,1 x 1ltr,NA,£4.89,0.0%,In Stock,Kerry Ingredients (U.K.) Ltd,"For full range visit davincigourmet.comWant more inspiration & recipes?Follow us on: Facebook, Twitter and Instagram",No
Retail Grocery,751889,5000183501108	,CADBURY CHOCOLATE SPREAD,6 x 400grm,£3.09,£13.59,0.0%,In Stock,Cadbury,Cadbury,No
Retail Grocery,751890,5060391621449	,CADBURY CRUNCHIE CHOCOLATE SPREAD,6 x 400grm,£3.09,£13.59,0.0%,In Stock,Jaymark,Cadbury Crunchie Spread 400g,No
Retail Grocery,779486,5391535690091	,CALI CALI HOT WING SAUCE,12X235GRM,£1.59,£14.39,0.0%,In Stock,Boyne Valley Foods Limited,Cali Cali Frisco Hot Wings Sauce 235g,No
Retail Grocery,524568,105245689	,ROBERTSONS GOLDEN S/LESS,6 x 454grm,£1.39,£6.29,0.0%,In Stock,Jaymark,Robertsons Golden Shredless 454g,No
Fresh & Chilled Goods,916083,5018222002714	,MINI MILLAR MOO S/BERRY 6PK,5X200MLS,£2.49,£8.55,0.0%,In Stock,Clarke Millar Foods,NA,No
Frozen Goods,769404,5391533070505	,SEAFEAST CRISPY FISH GOUJONS FROZEN,1 x 1kgm,NA,£7.49,0.0%,In Stock,Pan Euro Foods,Seafeast Crispy,No
Retail Grocery,797966,5000354919619	,BISTO CHICKEN GG 1.89,12X190GRM,£1.89,£12.99,0.0%,In Stock,Premier Foods UK Ltd,Bisto Chicken Gravy Granules PMP 189 190g,No
Retail Grocery,915961,5000354921728	,OXO BEEF 1.85,24 x 71grm,£1.85,£25.99,0.0%,In Stock,Premier Foods UK Ltd,OXO 12 Beef Stock Cubes 71g,No
Alcohol & Tobacco,197428,8520000009	,SUTTER HOME WHITE ZINFANDEL,24 x 187mls,£2.09,£29.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
Retail Grocery,797961,5000354919626	,BISTO BEEF GG 1.89,12X190GRM,£1.89,£12.99,0.0%,In Stock,Premier Foods UK Ltd,Bisto Gravy Granules PMP 189 190g,No
Retail Grocery,753685,5000354909955	,BISTO CURRY SAUCE GRANULES,6X185GRM,£1.49,£6.29,0.0%,In Stock,Premier Foods UK Ltd,Bisto Curry Sauce Mix 185g,No
Retail Grocery,510778,5000184161066	,KNORR BEEF STOCK CUBES,12 x 80grm,£1.59,£12.99,0.0%,In Stock,Knorr,Knorr Beef Stock cubes 8 x 10 g,No
Retail Grocery,510768,5000184161028	,KNORR CHICKEN STOCK CUBES,12 x 80grm,£1.59,£12.99,0.0%,In Stock,Knorr,Knorr Chicken Stock Cubes 8 x 10 g,No
Alcohol & Tobacco,114083,7804320985633	,CASILLERO DIABLO MERLOT,NA,NA,NA,20.0%,Out of Stock,Casillero del Diablo,Casillero del Diablo Merlot Red Wine Chile 75cl,No
Retail Grocery,276209,5000184161165	,KNORR VEGETABLE STOCK CUBES,12 x 80grm,£1.59,£12.99,0.0%,In Stock,Knorr,Knorr Vegetable Stock cubes 8 x 10 g,No
Retail Grocery,230015,5000184161103	,KNORR HAM STOCK CUBES,12 x 80grm,£1.59,£12.99,0.0%,In Stock,Knorr,Knorr Ham Stock cubes 8 x 10 g,No
Retail Grocery,778921,5000354916977	,BISTO PEPPER SAUCE,6X185GRM,£1.49,£6.29,0.0%,In Stock,Premier Foods UK Ltd,Bisto Pepper Sauce Mix 185g,No
Alcohol & Tobacco,712720,9300727006837	,JACOBS CREEK GRENACHE SHIRAZ,NA,NA,NA,20.0%,Out of Stock,Jacob's Creek,NA,No
