Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Packaging & Disposables,791457,5011581066465	,C/PACK ENVIRO FLEXI PAPER STRAW,1 x 150pce,NA,£1.69,20.0%,In Stock,ROBINSON YOUNG,NA,No
Soft Drinks,916002,613008739058	,ARIZONA MUNCHO MANGO TEA,6 x 500mls,£1.99,£7.99,0.0%,In Stock,Clearline Distribution Ltd,AriZona Mucho Mango Fruit Juice Cocktail 500ml,No
Soft Drinks,916001,613008730734	,ARIZONA GREEN TEA HONEY,6 x 500mls,£1.99,£7.99,0.0%,In Stock,Clearline Distribution Ltd,AriZona Original Green Tea with Honey 500ml,No
Soft Drinks,915931,5000382112723	,IRN BRU XTRA 1.00,12 x 500mls,£1.00,£7.29,20.0%,In Stock,Tennant & Ruttle,IRN-BRU Xtra No Sugar 500ml Bottle PMP £1,No
Alcohol & Tobacco,712720,9300727006837	,JACOBS CREEK GRENACHE SHIRAZ,NA,NA,NA,20.0%,Out of Stock,Jacob's Creek,NA,No
Alcohol & Tobacco,712717,9300727006837	,JACOBS CREEK GRENACHE SHIRAZ,NA,NA,NA,20.0%,Out of Stock,Jacob's Creek,NA,No
Soft Drinks,915930,5000382112686	,IRN BRU 1.00,12 x 500mls,£1.00,£7.29,20.0%,In Stock,Tennant & Ruttle,IRN-BRU 500ml Bottle PMP £1,No
Soft Drinks,792473,5000382111061	,RUBICON P/APPLE P/FRUIT,12 x 500mls,£1.39,£6.99,20.0%,In Stock,Tennant & Ruttle,"We always like to hear what you think of our drinks so feel free to contact us at rubiconconsumercare@agbarr.co.uk or visit us at www.rubicondrinks.co.uk. Make sure to follow our Rubicon social pages on Facebook, Instagram and Twitter @rubicondrinksuk",No
Soft Drinks,416621,5449000133465	,SCHWEPPES C/DRY GINGER ALE,12 x 1ltr,£1.99,£14.99,20.0%,In Stock,Schweppes,Schweppes Canada Dry Ginger Ale 1L,No
Soft Drinks,305848,5449000044808	,SCHWEPPES TONIC,12 x 1ltr,£1.99,£14.99,20.0%,In Stock,Schweppes,Schweppes Indian Tonic Water 1L,No
Soft Drinks,790682,40608174	,7UP REGULAR,24 x 500mls,£1.25,£14.99,20.0%,In Stock,Britvic Northern Ireland,7UP Regular Lemon & Lime Bottle 24 x 500ml,No
Soft Drinks,604400,5000382102144	,RUBICON BLACKCHERRY RASPBERRY,12 x 500mls,£1.39,£6.99,20.0%,In Stock,Tennant & Ruttle,"We always like to hear what you think of our drinks so feel free to contact us at rubiconconsumercare@agbarr.co.uk or visit us at www.rubicondrinks.co.uk. Make sure to follow our Rubicon social pages on Facebook, Instagram and Twitter @rubicondrinksuk",No
Soft Drinks,303638,5449000064219	,SCHWEPPES SLIMLINE TONIC,12 x 1ltr,£1.99,£14.99,20.0%,In Stock,Schweppes,Schweppes Slimline Tonic Water 1L,No
Soft Drinks,604358,5000382102182	,RUBICON STRAWBERRY KIWI,12 x 500mls,£1.39,£6.99,20.0%,In Stock,Tennant & Ruttle,We always like to hear what you think of our drinks so feel free to contact us at rubiconconsumercare@agbarr.co.uk or visit us at www.rubicondrinks.co.uk.,No
Soft Drinks,303618,5449000014917	,SCHWEPPES SODA,12 x 1ltr,£1.99,£14.99,20.0%,In Stock,Schweppes,Schweppes Original Soda Water 1L,No
Soft Drinks,604253,5000382102168	,RUBICON ORANGE MANGO,12 x 500mls,£1.39,£6.99,20.0%,In Stock,Tennant & Ruttle,"We always like to hear what you think of our drinks so feel free to contact us at rubiconconsumercare@agbarr.co.uk or visit us at www.rubicondrinks.co.uk. Make sure to follow our Rubicon social pages on Facebook, Instagram and Twitter @rubicondrinksuk",No
Soft Drinks,916097,5011020104529	,RIVER ROCK PINK G/FRT GRN/COFFEE,15X450MLS,£1.29,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Consume as part of a varied, balanced diet and health  lifestyle.",No
Soft Drinks,916085,5011020104512	,RIVER ROCK MANGO P/FRUIT,15X450MLS,£1.29,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,915886,5054267012301	,ORANGINA 1.25,12X420MLS,£1.25,£8.39,20.0%,In Stock,Suntory GB Ltd,Orangina Sparkling Fruit Drink Orange 420ml PMP £1.25,No
Soft Drinks,916081,5011020104543	,RIVER ROCK MANDARIN,15 x 750mls,£1.39,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"With vitamin B6 + zinc contribute to the normal function of the immune system†† Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,916080,5011020104536	,RIVER ROCK APPLE & PEAR,15 x 750mls,£1.39,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"With vitamin B6 + zinc contribute to the normal function of the immune system†† Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,916096,5011020104505	,RIVER ROCK PEAR B/BRY B/CUR,15X450MLS,£1.29,£10.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,"Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,115518,5099483050003	,BALLYGOWAN SPARKLING,24 x 500mls,£0.75,£6.99,20.0%,In Stock,Ballygowan,Did You Know?Sustainability is important to us at Ballygowan.,No
Soft Drinks,793685,8002270146527	,SAN PELL LEMON 6PK,4 x 330mls,£4.59,£10.49,20.0%,In Stock,Sanpellegrino,San Pellegrino Lemon 6x330ml,No
Soft Drinks,784469,8717700002457	,7UP FREE CANS 6PK,4 x 330mls,£3.89,£7.99,20.0%,In Stock,7UP,7UP Free Lemon & Lime Cans 6 x 330ml,No
Soft Drinks,790395,4060800305732	,7UP CANS 6PK,4 x 330mls,£3.89,£7.99,20.0%,In Stock,Britvic Northern Ireland,7UP Lemon & Lime Cans 6 x 330ml,No
Soft Drinks,547158,8002270746529	,SAN PELL GRAPEFRUIT CAN,4 x 330mls,£4.59,£10.49,20.0%,In Stock,DISCOUNT COMMODITY SUPPLIES LT,San Pellegrino Grapefruit 6x330ml,No
Soft Drinks,915460,5410438037946	,YAZOO STRAWBERRY NAS,6 x 200mls,£1.89,£7.99,0.0%,In Stock,GM Marketing,A varied and balanced diet is important as part of a healthy lifestyle.,No
Soft Drinks,536507,4060800120700	,PEPSI REG 6PK,4 x 330mls,£4.79,£9.99,20.0%,In Stock,Pepsi,Pepsi Cola Cans 6 x 330ml,No
Soft Drinks,547131,8002270756474	,SAN PELL ARANCIATA CAN,4 x 330mls,£4.59,£10.49,20.0%,In Stock,DISCOUNT COMMODITY SUPPLIES LT,"Follow us on Facebook, Instagram",No
Soft Drinks,915458,5410438037953	,YAZOO BANANA NAS,6 x 200mls,£1.89,£7.99,0.0%,In Stock,GM Marketing,A varied and balanced diet is important as part of a healthy lifestyle.,No
Soft Drinks,132229,5026791442008	,DEEP RIVERROCK SPARKLINGWATER,8 x 2ltr,£1.00,£4.99,20.0%,In Stock,Deep RiverRock,Deep RiverRock Sparkling Water 2 Litre,No
Soft Drinks,767450,5054267010154	,RIBENA BLACKCURRANT 1.50,6 x 600mls,£1.50,£5.79,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant Squash 600ml PMP £1.50,No
Soft Drinks,690904,4060800106896	,PEPSI MAX TWIN,4 x 2ltr,£3.79,£9.99,20.0%,In Stock,Britvic Northern Ireland,Pepsi Max Sugar Free Cola Bottles 2 x 2L,No
Soft Drinks,915885,5054267012226	,RIBENA STRAWBERRY 65P,24 x 250mls,£0.65,£8.49,20.0%,In Stock,Suntory GB Ltd,Ribena Strawberry Juice Drink 250ml PMP 65p,No
Soft Drinks,915884,5054267012219	,RIBENA BLACKCURRANT 65P,24 x 250mls,£0.65,£8.49,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant Juice Drink 250ml PMP 65p,No
Soft Drinks,768020,4060800103604	,7UP FREE TWIN PACK,4 x 2ltr,£3.69,£9.49,20.0%,In Stock,7UP,7UP Free Lemon & Lime Bottles 2 x 2 Litres,No
Soft Drinks,536513,4060800105288	,PEPSI MAX 6PK,4 x 330mls,£3.89,£9.49,20.0%,In Stock,Pepsi,Pepsi Max Sugar Free Cola Cans 6 x 330ml,No
Soft Drinks,547727,5054267006119	,RIBENA STRAWBERRY,24 x 250mls,£0.85,£9.09,20.0%,In Stock,Suntory GB Ltd,Ribena No Added Sugar Strawberry Juice Drink Carton 250ml,No
Soft Drinks,547726,5054267006102	,RIBENA BLACKCURRANT,24 x 250mls,£0.85,£9.09,20.0%,In Stock,Suntory GB Ltd,Ribena Blackcurrant Juice Drink Carton 250ml,No
Soft Drinks,915459,5410438040045	,YAZOO CHOCOLATE NAS,NA,NA,NA,0.0%,Out of Stock,GM Marketing,A varied and balanced diet is important as part of a healthy lifestyle.,No
Soft Drinks,915879,5054267012189	,RIBENA SPK B/CURRANT 1.19,NA,NA,NA,20.0%,Out of Stock,Suntory GB Ltd,Ribena Sparkling Blackcurrant 500ml PMP £1.19,No
Soft Drinks,915880,5054267012196	,RIBENA SPK R/BERRY 1.19,NA,NA,NA,20.0%,Out of Stock,Suntory GB Ltd,Ribena Sparkling Raspberry 500ml PMP £1.19,No
Soft Drinks,416581,50412723	,FRUIT SHOOTS SUMMER FRUITS,24 x 275mls,£0.89,£10.49,20.0%,In Stock,Robinsons,Fruit Shoot Summer Fruits Kids Juice Drink 275ml,No
Soft Drinks,124926,50412709	,FRUIT SHOOTS ORANGE LS,24 x 275mls,£0.89,£10.49,20.0%,In Stock,Robinsons,Robinsons Fruit Shoot Orange 24 x 275ml,No
Soft Drinks,124924,50412716	,FRUIT SHOOTS BLK&APPLE LS,24 x 275mls,£0.89,£10.49,20.0%,In Stock,Robinsons,Robinsons Fruit Shoot Apple & Blackcurrant 24 x 275ml,No
Soft Drinks,303608,5449000044839	,SCHWEPPES BITTER LEMON,NA,NA,NA,20.0%,Out of Stock,Coca Cola HBC Northern Ireland,Schweppes Bitter Lemon 1L,No
Soft Drinks,916082,5011020104550	,RIVER ROCK TROPICAL,NA,NA,NA,20.0%,Out of Stock,Coca Cola HBC Northern Ireland,"With vitamin B6 + zinc contribute to the normal function of the immune system†† Consume as part of a varied, balanced diet and healthy lifestyle.",No
Soft Drinks,794370,5000382100560	,SNAPPLE KIWI STRAWBERRY FS,NA,NA,NA,20.0%,Out of Stock,Tennant & Ruttle,Snapple Kiwi Meets Strawberry 473ml,No
Soft Drinks,196249,41990201008	,BALLYGOWAN SPARKLING,8 x 2ltr,£1.00,£5.99,20.0%,In Stock,Britvic Northern Ireland,Did You Know?Sustainability is important to us at Ballygowan.,No
Soft Drinks,915846,5000177497417	,EMERGE TROPICAL SPORT 59P,NA,NA,NA,20.0%,Out of Stock,Refreshco Drinks UK,NA,No
Soft Drinks,916045,5000177497905	,EMERGE S/B & W/MELON 59P,NA,NA,NA,20.0%,Out of Stock,Refreshco Drinks UK,NA,No
Soft Drinks,132239,5026791423007	,DEEP RIVERROCK STILL WATER BOTTLE,8 x 2ltr,£1.00,£4.99,20.0%,In Stock,Deep RiverRock,Deep RiverRock Still Water 2 Litre,No
Soft Drinks,196239,41990200018	,BALLYGOWAN STILL,8 x 2ltr,£1.00,£5.99,20.0%,In Stock,Britvic Northern Ireland,Did You Know?Sustainability is important to us at Ballygowan.,No
Soft Drinks,793686,8002270166471	,SAN PELL ORANGE 6PK,4 x 330mls,£4.59,£10.49,20.0%,In Stock,San Pellegrino,San Pellegrino Orange 6x330ml,No
Soft Drinks,447598,181	,SPRITE ZERO NRB,24 x 200mls,NA,£9.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,NA,No
Soft Drinks,447596,183	,FANTA ORANGE NRB,24 x 200mls,NA,£9.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,NA,No
Soft Drinks,447595,184	,FANTA LEMON NRB,24 x 200mls,NA,£9.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,Sprite Lemon Lime No Sugar 200ml,No
Alcohol & Tobacco,312782,85200000272	,SUTTER HOME SAUVIGNON BLANC,12 x 750mls,£6.68,£54.99,20.0%,In Stock,Dillon Bass Ltd,Sutter Home Sauvignon Blanc 750ml,No
Soft Drinks,317138,87170726	,7UP FREE,24 x 500mls,£1.25,£14.99,20.0%,In Stock,Britvic Northern Ireland,7UP Free Lemon and Lime Bottle 24 x 500ml,No
Alcohol & Tobacco,197428,8520000009	,SUTTER HOME WHITE ZINFANDEL,24 x 187mls,£2.09,£29.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,708826,9300727406538	,JACOBS CREEK CHARDONNAY,NA,NA,NA,20.0%,Out of Stock,Jacob's Creek,Jacob's Creek Chardonnay White Wine 75cl,No
Soft Drinks,794366,5000382100799	,SNAPPLE APPLE FS,12X473MLS,£1.99,£14.99,20.0%,In Stock,Tennant & Ruttle,"For more information on this product, please write to  us at consumercare@agbarr.co.uk or visit snapple.eu",No
Alcohol & Tobacco,153005,85200000296	,SUTTER HOME WHITE ZINFANDEL,1 x 750mls,£7.89,£4.59,20.0%,In Stock,Dillon Bass Ltd,NA,No
"Household, Cleaning & Pet Care",658777,7322540910575	,PLENTY THE ORIGINAL ROLL,12X1PK,£1.99,£12.79,20.0%,In Stock,SCA Hygiene Ltd,Plenty White Kitchen Roll 100 Sheets,No
Alcohol & Tobacco,153004,85200000296	,SUTTER HOME WHITE ZINFANDEL,12 x 750mls,£7.89,£54.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
"Household, Cleaning & Pet Care",915680,8445290076083	,WINALOT PP GRAVY 1.09,12 x 100grm,£1.09,£7.29,20.0%,In Stock,Nestle Purina UK Commerical Op,For further information please go to: www.winalot-dog.co.uk,No
"Household, Cleaning & Pet Care",915681,8445290076052	,WINALOT PP JELLY 1.09 3PK,12 x 100grm,£1.09,£7.29,20.0%,In Stock,Nestle Purina UK Commerical Op,For further information please go to: www.winalot-dog.co.uk,No
Soft Drinks,766407,5000382109792	,IRN BRU XTRA 69P,24 x 330mls,£0.69,£8.99,20.0%,In Stock,Tennant & Ruttle,IRN-BRU Xtra 330ml,No
Soft Drinks,671289,8001620017432	,SAN BENEDETTO LIMONE,24 x 330mls,£0.89,£11.29,20.0%,In Stock,Tennant & Ruttle,San Benedetto Prima Spremitura Limone 330ml Cans,No
Soft Drinks,766406,5000382109754	,IRN BRU 69P,24 x 330mls,£0.69,£8.99,20.0%,In Stock,Tennant & Ruttle,"IRN-BRU 330ml Can, PMP, 69p",No
Soft Drinks,671251,8001620017425	,SAN BENEDETTO CLEMENTINA,24 x 330mls,£0.89,£11.29,20.0%,In Stock,Tennant & Ruttle,San Benedetto Prima Spremitura Clementina 330ml Cans,No
Soft Drinks,915859,5054267012011	,LUCOZADE RASPBERRY 1.80,12 x 750mls,£1.80,£13.49,20.0%,In Stock,Suntory GB Ltd,Lucozade Sport Drink Raspberry 750ml PMP £1.80,No
Soft Drinks,915858,5054267012004	,LUCOZADE ORANGE 1.80,12 x 750mls,£1.80,£13.49,20.0%,In Stock,Suntory GB Ltd,Lucozade Sport Drink Orange 750ml PMP £1.80,No
Soft Drinks,504815,5054267000469	,LUCOZADE SPORT RASPBERRY4PK,6 x 500mls,£2.50,£10.99,20.0%,In Stock,Suntory GB Ltd,Lucozade Sport Drink Raspberry 4 x 500ml,No
Soft Drinks,109885,5011020102860	,RIVER ROCK SPARKLING GLASS,24 x 330mls,£0.69,£8.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,Deep RiverRock Sparkling Water 330ml,No
Soft Drinks,915845,5000177497370	,EMERGE ORANGE SPORT 59P,12 x 500mls,£0.59,£4.49,20.0%,In Stock,Refreshco Drinks UK,NA,No
Soft Drinks,109882,5011020102853	,RIVER ROCK STILL GLASS,24 x 330mls,£0.69,£8.49,20.0%,In Stock,Coca Cola HBC Northern Ireland,Deep RiverRock Still Water 330ml,No
Alcohol & Tobacco,117998,7804320467450	,CYT M/RANGE MERLOT,12 x 750mls,£6.67,£56.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
Alcohol & Tobacco,114076,7804320256900	,CASILLERO DIABLO CHARDONNAY,6 x 75cl,£8.28,£30.12,20.0%,In Stock,Casillero del Diablo,Casillero del Diablo Chardonnay 75cl,No
Soft Drinks,348092,5000347017896	,LUCOZADE SPORT ORANGE 4PK,6 x 500mls,£2.50,£10.99,20.0%,In Stock,Lucozade,Lucozade Sport Orange 4 x 500ml,No
Alcohol & Tobacco,107143,7804320301174	,CASILLERO SAUVIGNON BLANC,1 x 750mls,£8.28,£5.05,20.0%,In Stock,Casillero del Diablo,Casillero del Diablo Sauvignon Blanc 75cl,No
Alcohol & Tobacco,163844,9414024514275	,BRANCOTT MARLBOROUGH SAUVIGNON BLAN,1 x 750mls,£10.25,£6.35,20.0%,In Stock,Brancott Estate,Brancott Estate Sauvignon Blanc 750ml,No
Alcohol & Tobacco,163843,9414024514275	,BRANCOTT MARLBOROUGH SAUVIGNON BLAN,6 x 750mls,£10.25,£37.99,20.0%,In Stock,Brancott Estate,Brancott Estate Sauvignon Blanc 750ml,No
Alcohol & Tobacco,106429,7804320301174	,CASILLERO SAUVIGNON BLANC,6 x 750mls,£8.28,£30.12,20.0%,In Stock,Casillero del Diablo,Casillero del Diablo Sauvignon Blanc 75cl,No
Alcohol & Tobacco,237999,9414024678861	,BRANCOT CABERNET MERLOT,6 x 750mls,£10.17,£40.99,20.0%,In Stock,Dillon Bass Ltd,Brancott Estate Hawkes Bay Merlot Red Wine 75cl,No
Alcohol & Tobacco,512108,8410302106300	,CAMPO VIEJO TEMPRANILLO,6 x 75cl,£9.41,£30.99,20.0%,In Stock,Campo Viejo,Campo Viejo Tempranillo 75cl,No
Alcohol & Tobacco,238001,9414024678861	,BRANCOT CABERNET MERLOT,1 x 750mls,£10.17,£6.85,20.0%,In Stock,Dillon Bass Ltd,Brancott Estate Hawkes Bay Merlot Red Wine 75cl,No
"Household, Cleaning & Pet Care",755134,5010708774009	,NATURO CHICKEN GRAIN FREE,7X400GRM,£1.29,£5.39,20.0%,In Stock,Mackle Petfoods,Naturo Natural Pet Food Grain Free Chicken with Potato and Vegetables Adult Dog 1 to 7 Years 400g,No
"Household, Cleaning & Pet Care",428721,5998749108536	,WHISKAS TEMPTATIONS SALMON,8X60GRM,£1.29,£5.39,20.0%,In Stock,Whiskas,Whiskas Temptations Cat Treat Biscuits with Salmon Flavour 60g,No
"Household, Cleaning & Pet Care",784169,7613287624123	,GO CAT TUNA/HERR/VEG 1.19,6 x 340grm,£1.19,£3.99,20.0%,In Stock,Nestle Purina UK Commerical Op,"Every ingredient has a purposewww.purina.eu/ingredientsFor more information, go to: https://www.purina.co.uk/cat/go-cat/",No
