Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
"Health, Beauty & Baby",433800,5052197025989	,DUREX THIN FEEL,6X3PK,£3.99,£16.49,5.0%,In Stock,Durex,The Naked TruthSourcingWe're Big on Protection for you and the planet. We try to do the right thing by sourcing latex in a responsible way that benefits local communities.Find Your Best Fit www.durex.comGet to know more about your condom choice. Head to durex.com,No
"Health, Beauty & Baby",545970,3014260747961	,ORAL B TOOTHBRUSH CLASSIC 2PK,12X2PK,£1.59,£11.29,20.0%,In Stock,Oral-B,Oral-B 123 Classic Care Medium Manual Toothbrush x2,No
"Health, Beauty & Baby",660539,7702018980925	,GILL SHAVE FOAMY REGULAR,6 x 200mls,£1.55,£5.79,20.0%,In Stock,Gillette,"Gillette Classic Shave Foam Original Scent, Quick & Easy Shave, 200ml",No
"Health, Beauty & Baby",915836,8006540584200	,ALWAYS ULTRA DAY & NIGHT,16X9PK,£1.99,£23.99,0.0%,In Stock,Interactive Irl Ltd,Always Ultra Sanitary Towels Day & Night (Size 3) Wings X9 Pads,No
"Health, Beauty & Baby",915834,8006540584040	,ALWAYS ULTRA NORMAL,16X13PK,£1.99,£23.99,0.0%,In Stock,Interactive Irl Ltd,Always Ultra Sanitary Towels Normal (Size 1) Wings X13 Pads,No
"Health, Beauty & Baby",915835,8006540583982	,ALWAYS ULTRA NORMAL PLUS,16X15PK,£1.99,£23.99,0.0%,In Stock,Interactive Irl Ltd,Always Ultra Sanitary Towels Normal (Size 1) X15 Pads,No
Alcohol & Tobacco,779123,5000143912333	,B&H SK BLUE NI,10 x 20pk,£10.40,£83.75,20.0%,In Stock,Gallaher Ltd,Benson & Hedges 20 Cigarettes Superkings Blue,No
"Health, Beauty & Baby",551298,8001090132017	,ORAL B MOUTHWASH MINT,6 x 250mls,£1.29,£3.99,20.0%,In Stock,Interactive Irl Ltd,Oral-B Complete Mouthwash Arctic Mint Flavour 250ml,No
"Biscuits, Bread & Cakes",684379,5000168024547	,MCV CARAMEL 1.65,15X250GRM,£1.65,£12.99,20.0%,In Stock,United Biscuits,www.123healthybalance.comFind us at www.mcvities.co.uk,No
Alcohol & Tobacco,779119,5000143948325	,B&H KS BLUE DUAL NI,10 x 20pk,£10.50,£84.65,20.0%,In Stock,Gallaher Ltd,Benson & Hedges 20 Cigarettes Blue Dual,No
Alcohol & Tobacco,779118,5000143932713	,B&H KS BLUE NI,10 x 20pk,£10.40,£83.75,20.0%,In Stock,Gallaher Ltd,Benson & Hedges 20 Cigarettes Blue,No
Catering Dry Goods,616518,5010024130510	,BISTO GRAVY POWDER,1 x 40ltr,£21.19,£12.99,0.0%,In Stock,Bisto,Bisto The Original Gravy Powder 3kg,No
"Household, Cleaning & Pet Care",915671,8445290076243	,FELIX AGAIL OCEAN 4.49,4 x 100grm,£4.49,£11.29,20.0%,In Stock,Nestle Purina UK Commerical Op,"To find out more about Felix play games, join promotions and much more go to: www.catslikefelix.co.uk",No
"Household, Cleaning & Pet Care",760793,3065890145221	,WHISKAS 1+PD POULTRY 4.25,4X85GRM,£4.25,£11.19,20.0%,In Stock,Mars Pet Care UK Ltd,Whiskas Pure Delight Cat Food Pouches Poultry in Jelly 12 x 85g PMP £4.25,No
Frozen Goods,526100,5412632731125	,PANESCO BELGIAN SUGAR WAFFLES FRZN,1X32PCE,NA,£15.99,20.0%,In Stock,Musgrave Foodservice Ltd,Panesco.com Belgian Sugar Waffle 23 Piece 90g,No
Alcohol & Tobacco,779095,5000143997927	,STERLING RYO NI,5X30GRM,£14.60,£56.79,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco 5 x 30g,No
Alcohol & Tobacco,779094,5000143998726	,STERLING RYO NI,5 x 50grm,£23.95,£93.09,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco 50g,No
Fresh & Chilled Goods,690386,5011069173852	,DENNY GOLD MEDAL SAUSAGES,6 x 600grm,£2.79,£10.85,0.0%,In Stock,Pilgrim Foods,"To find out more, come visit us at www.denny.ie",No
Alcohol & Tobacco,779088,5000143916317	,STERLING 3IN1 RYO NI,5X30GRM,£14.70,£57.05,20.0%,In Stock,Gallaher Ltd,Sterling 3in1 Complete Kit Rolling Tobacco 5 x 30g,No
"Household, Cleaning & Pet Care",683508,7322540944600	,CUSHELLE QUILTED,5X9PK,£4.85,£14.29,20.0%,In Stock,SCA Hygiene Ltd,Cushelle Ultra Quilted Toilet Roll 9 Rolls,No
Frozen Goods,915822,1010100020	,THAW&SERVE TRIPLE CHOC COOKIE FRZN,48X72GRM,NA,£34.99,0.0%,In Stock,Musgrave Foodservice Ltd,CSM Thaw & Serve Triple Chocolate Fully Baked Cookies,No
"Household, Cleaning & Pet Care",683507,7322540944761	,CUSHELLE QUILTED,10 x 4pk,£2.59,£13.99,20.0%,In Stock,SCA Hygiene Ltd,Cushelle Ultra Quilted Toilet Roll 4 Rolls,No
"Household, Cleaning & Pet Care",739145,8004260235358	,REGINA THIRSTPOCKETS,6X1PK,£1.49,£5.59,20.0%,In Stock,Tennant & Ruttle,Regina Thirst Pockets Tip: Dab the excess grease off food with the perfect kitchen companion.,No
"Household, Cleaning & Pet Care",173804,7322540432992	,CUSHELLE 16PK,1 x 16pk,£7.45,£4.59,20.0%,In Stock,Cushelle,Cushelle White 16 Toilet Rolls,No
"Household, Cleaning & Pet Care",790384,7322540432664	,CUSHELLE 4PK,10 x 4pk,£1.69,£10.99,20.0%,In Stock,Cushelle,Cushelle White 4 Toilet Rolls,No
Frozen Goods,768360,5099556023262	,BIG AL HOT/SPICY CHICKENFLT FRZN,5X1.05KGM,NA,£34.95,0.0%,In Stock,KEPAK CONVENIENCE FOODS,NA,No
Fresh & Chilled Goods,118409,7622201143756	,DAIRYLEA DUNKERS JUMBO 69P,15X41GRM,£0.69,£7.29,0.0%,In Stock,Kraft Foods Uk Ltd,Go online: www.dairylea.co.uk,No
"Household, Cleaning & Pet Care",688248,8710447398197	,COMFORT PURE 36 WASH,6X1.2LTR,£2.59,£9.99,20.0%,In Stock,Unilever Ireland Homecare,Comfort Pure Fabric Conditioner 36 Wash 1.26 l,No
"Household, Cleaning & Pet Care",688256,8710447398166	,COMFORT SUNSHINE DAYS 36WASH,6X1.2LTR,£2.59,£9.99,20.0%,In Stock,Unilever Ireland Homecare,Comfort Sunshiny Days Fabric Conditioner 36 Wash 1.26  l,No
"Household, Cleaning & Pet Care",688245,8710447398173	,COMFORT BLUE 36 WASH,6X1.2LTR,£2.59,£9.99,20.0%,In Stock,Unilever Ireland Homecare,Comfort Blue Skies Fabric Conditioner 36 Wash 1.26 l,No
Frozen Goods,915965,5098878012183	,MALTESER FUDGE CHEESECAKE,1 x 1kgm,NA,£16.29,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Alcohol & Tobacco,399426,9300727215512	,WYNDHAM BIN 222 CHARDONNAY,24 x 187mls,£1.40,£29.99,20.0%,In Stock,Wyndham Estate,NA,No
Frozen Goods,480323,5099839246043	,M/E LUX R/BERRY C/CAKE 14 PTN,1X1400GRM,NA,£12.99,0.0%,In Stock,Musgrave Foodservice Ltd,Musgrave Excellence Raspberry Cheesecake 1.4kg,No
Frozen Goods,536222,5099839246067	,M/E LUX BAILEYS C/CAKE 14PTN,1X1400GRM,NA,£15.85,0.0%,In Stock,Musgrave Excellence,Musgrave Excellence Irish Cream Liqueur Cheesecake 1.4kg,No
"Household, Cleaning & Pet Care",688246,8710447398180	,COMFORT LAVENDAR 36 WASH,6X1.2LTR,£2.59,£9.99,20.0%,In Stock,Unilever Ireland Homecare,Comfort Lavender Bloom Fabric Conditioner 36 Wash 1.26 l,No
Catering Dry Goods,541505,5012991065642	,BISTO COMPLETE GRAVY MIX,1 x 30ltr,NA,£13.59,0.0%,In Stock,Premier Foods UK Ltd,Bisto Gravy Mix For Meat & Vegetable Dishes 2.06kg,No
Alcohol & Tobacco,739321,9300727214010	,WYNDHAM BIN 555 SHIRAZ,1 x 187mls,£1.40,£1.25,20.0%,In Stock,Wyndham Estate,NA,No
"Household, Cleaning & Pet Care",754144,8001841066820	,FAIRY NON BIO CAPSULES,3X15PK,£4.39,£7.29,20.0%,In Stock,Interactive Irl Ltd,Fairy Non Bio Pods Washing Liquid Capsules 15 Washes,No
Alcohol & Tobacco,238001,9414024678861	,BRANCOT CABERNET MERLOT,1 x 750mls,£10.17,£6.85,20.0%,In Stock,Dillon Bass Ltd,Brancott Estate Hawkes Bay Merlot Red Wine 75cl,No
Frozen Goods,914934,4454554545	,ALMOND & RASPBERRY VEGANFINANCIER,48X1PK,NA,£35.45,0.0%,In Stock,Musgrave Foodservice Ltd,NA,No
Frozen Goods,795506,5060426140518	,B/SHED G/F DARK CHOC BROWNIE 75GRM,1X14PCE,NA,£16.99,0.0%,In Stock,Elliots Traditional,NA,No
Frozen Goods,795504,5060426140051	,B/SHED G/F C/CARAMEL BROWNIE 75GRM,1X14PCE,NA,£16.99,0.0%,In Stock,Elliots Traditional,NA,No
Catering Dry Goods,663729,8718114964072	,* KNORR CHICKEN 200PTN SOUP,1 x 200,NA,£14.79,0.0%,In Stock,Knorr,Explore more at ufs.com/knorrprofessional,No
Catering Dry Goods,764895,8712566234554	,* KNORR 100% CHKN & VEG SOUP,1 x 2.5kgm,NA,£6.45,0.0%,In Stock,Unilever Foods Irl Ltd Food So,NA,No
Catering Dry Goods,764894,8712566234554	,* KNORR 100% CHKN & VEG SOUP,4 x 2.5kgm,NA,£25.65,0.0%,In Stock,Unilever Foods Irl Ltd Food So,Knorr Professional 100% Soup Chicken & Veg 4x2.5KG,No
