ProductDescription,TescoProductID,BaseID,SpecialOffer,OfferStartDate,OfferEndDate,WebLink,CurrentlyAvailable,Barcode,Price,UnitOfMeasure,DateScraped
Rose Gold Paper Straws,308121944,88917962,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308121944,True,5052715125474	,2.50,EACH,2022-01-27
Gold Star Wand Paper Straws,308121938,88917953,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308121938,True,5052715125467	,1.87,EACH,2022-01-27
Joie Silicone Baking Sheet,308152982,88936582,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308152982,True,0067742299703	,8.50,EACH,2022-01-27
Rainbow Paper Straws,308122309,88918324,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308122309,True,5052715125535	,2.50,EACH,2022-01-27
Tesco Woven Knit Throw Navy,308697515,89178500,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308697515,True,5059697016332	,19.99,EACH,2022-01-27
Temple Street Children Hospital Donation,287971021,78838514,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=287971021,True,5054269080636	,1.00,EACH,2022-01-27
Star Wars The Force Awakens Dvd,291775138,80748059,Any 3 For 20.00,28/6/2021,30/1/2022,https://www.tesco.ie/groceries/Product/Details/?id=291775138,True,8717418478063	,10.00,EACH,2022-01-27
Tesco Mobile Doro 6620 32Gb Red,307051890,88269417,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=307051890,True,5059316985971	,79.99,EACH,2022-01-27
Chrysanthemums (Metro),266586941,65318447,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=266586941,True,5052004715317	,3.00,EACH,2022-01-27
Tesco Eden Bouquet,298006561,83811953,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=298006561,True,5057545149218	,12.00,EACH,2022-01-27
Tesco Oriental Lilies 3 Stems,294175066,81954061,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=294175066,True,5057008617179	,5.75,EACH,2022-01-27
F&I Forest Greens Sheep Throw,308634907,89147710,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308634907,True,5059512980077	,5.83,EACH,2022-01-27
Bayswood Floral Hinch Eucalyptus Plant,309366324,89551853,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=309366324,True,5060743171844	,17.99,EACH,2022-01-27
Small Roses (C),267814469,65129521,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=267814469,True,5052319824766	,3.80,EACH,2022-01-27
Tesco Super Soft Throw Silver,306455143,88072649,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306455143,True,5059316932944	,6.08,EACH,2022-01-27
Tesco Irish Grown Daffodils,295685941,82693626,2 For 2.00,2/12/2021,28/8/2022,https://www.tesco.ie/groceries/Product/Details/?id=295685941,True,5057373185983	,1.29,EACH,2022-01-27
Newspread Paw Patrol Jumbo Colouring Pad,311292206,90434064,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=311292206,True,NA,8.99,EACH,2022-01-27
Newspread Barbie Colouring Book,311242508,90416783,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=311242508,True,NA,4.99,EACH,2022-01-27
The Hunger Games Mockingjay Part 1 Dvd,287023194,78362483,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=287023194,True,5055761904123	,7.00,EACH,2022-01-27
Sparkly Unicorns Sticker Book,310642137,90189250,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=310642137,True,NA,7.99,EACH,2022-01-27
Phidal Llamas My Mini Busy Books,303705400,86687357,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=303705400,True,NA,8.84,EACH,2022-01-27
Tcl 20Se,309261701,89392902,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=309261701,True,NA,149.99,EACH,2022-01-27
Tesco Mobile Alcatel 1066,300617768,85135552,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=300617768,True,5057753159528	,29.99,EACH,2022-01-27
Tesco Mobile Alcatel 1,303806769,86729948,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=303806769,True,5057967576470	,49.99,EACH,2022-01-27
Tesco Rose Bouquet,272429083,50991420,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=272429083,True,5052909347064	,6.00,EACH,2022-01-27
Tesco Teddy Rug Grey,308697550,89178546,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308697550,True,5059697016370	,22.50,EACH,2022-01-27
Tesco Rose And Lily Bouquet,259808846,60245857,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=259808846,True,5051898041038	,5.00,EACH,2022-01-27
Go Create Easter Chicks 8 Pack,304881418,87274775,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304881418,True,5059316151192	,1.50,EACH,2022-01-27
Cadbury Hot Chocolate Cocoa Powder 500G,254890316,50056537,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=254890316,True,5034660021582	,2.99,g,2022-01-27
Cadbury Hot Chocolate Cocoa Powder 250G,254890339,50056566,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=254890339,True,5034660021537	,2.69,g,2022-01-27
Green And Blacks Organic Cocoa Fair Trade 125G,250610609,53939462,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=250610609,True,5011835101690	,2.95,g,2022-01-27
Options Instant Belgian Chocolate Drink 220G,258049461,51264519,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=258049461,True,7612100053607	,4.79,g,2022-01-27
Green And Blacks Organic Hot Chocolate 300G,285132528,53720109,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=285132528,True,7622210313218	,5.99,g,2022-01-27
Cadburys Highlights Milk Stickpack Hot Chocolate 11G,273566384,51385831,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=273566384,True,0000096033197	,0.59,g,2022-01-27
Bewley's Hot Drinking Chocolate 250G,268689373,67941828,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=268689373,True,5099589222090	,4.29,g,2022-01-27
Ovaltine Original Add Water Drink 300G,258491362,58315927,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=258491362,True,7612100015636	,3.99,g,2022-01-27
Ovaltine Original Add Milk Drink 300G,258492318,50376377,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=258492318,True,7612100005569	,3.99,g,2022-01-27
Galberts Fruit Trifle 180G,268942920,62624285,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=268942920,True,5391501222196	,1.50,kg,2022-01-27
Galberts Blackforest Trifle 180G,268942874,62624204,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=268942874,True,5391501222202	,1.50,kg,2022-01-27
Tesco Hot Cross Buns 4 Pack,295983248,82818072,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=295983248,True,5057373264596	,1.45,EACH,2022-01-27
Mr Kipling 8 Lemon Fancies Sponge Cakes,305972367,87867886,SAVE 1.15 Was  3.15 Now  2.00,18/1/2022,14/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=305972367,True,5000221606406	,2.00,EACH,2022-01-27
What's For Pudding ? Rich Chocolate Pudding 420G,306943026,87865139,SAVE 1.20 Was  5.99 Now  4.79,26/1/2022,22/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=306943026,True,5392000093119	,4.79,kg,2022-01-27
What's For Pudding ? Sticky Toffee Pudding 420G,306926600,88315974,SAVE 1.20 Was  5.99 Now  4.79,26/1/2022,22/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=306926600,True,5392000093102	,4.79,kg,2022-01-27
Galberts Fruit Trifle 450G,268601408,67855809,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=268601408,True,5391501221908	,2.99,kg,2022-01-27
Jus-Rol Puff Pastry Ready Rolled Sheet 320G,268973255,51780081,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=268973255,True,5010084103677	,3.40,kg,2022-01-27
Tesco Finest Meringue Nests 8S,260245738,58948852,SAVE 44c Was  1.69 Now  1.25,20/1/2022,20/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=260245738,True,5051140095703	,1.25,EACH,2022-01-27
Jus-Rol Pains Au Chocolate Dough 6 Pack 275G,273798639,71864096,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=273798639,True,5010084702399	,3.15,g,2022-01-27
Tesco 8 Meringue Nests,254948618,50607399,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=254948618,True,5000119162472	,1.49,EACH,2022-01-27
Tesco Sponge Fingers 200G,254948751,50961122,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=254948751,True,5000119639332	,2.25,g,2022-01-27
Jus-Rol Shortcrust Pastry Ready Rolled Sheet 320G,268973059,53770084,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=268973059,True,5010084309659	,3.35,kg,2022-01-27
Betty Crocker Chocolate Chunk Muffin Mix 335G,260509940,59205313,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=260509940,True,8906000211465	,2.99,kg,2022-01-27
Betty Crocker Salted Caramel Shortbread Mix 345G,307753917,88706120,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=307753917,True,5010084905851	,2.99,kg,2022-01-27
Dr. Oetker 6 Celebration Candles,275960323,72935322,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=275960323,True,5000254003562	,1.99,EACH,2022-01-27
Tesco Finest 12 Meringue Shells,300238519,84928186,SAVE 35c Was  2.35 Now  2.00,20/1/2022,20/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=300238519,True,5057545931585	,2.00,EACH,2022-01-27
Tesco Finest All Butter Pastry Tartlets 8 Pack,284743072,77227507,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=284743072,True,5054268735728	,3.69,EACH,2022-01-27
Dr Oetker Decorating Icing Gold 50G,307143453,88310138,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=307143453,True,5000254020927	,1.99,g,2022-01-27
Jus Rol Volau Vents Medium 313G,259805659,51955111,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=259805659,True,5010084201038	,4.25,kg,2022-01-27
Tesco Finest Meringue Pavlova,285679486,77701706,SAVE 49c Was  2.49 Now  2.00,20/1/2022,20/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=285679486,True,5054402150967	,2.00,EACH,2022-01-27
Tesco Dinosaur Fairy Cake Kit 255G,301392086,85489294,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=301392086,True,5057753440008	,2.59,kg,2022-01-27
Tesco Finest* All Buttermini Tartlets 9S 90G,275969515,72946401,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=275969515,True,5052910412713	,3.25,g,2022-01-27
Odlums Mini Mallows Pink And White 125G,307754006,88717352,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=307754006,True,5397136011266	,2.29,g,2022-01-27
F&I Winter Pot Pourri Mandarin And Spice,309130246,89411501,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=309130246,True,5059697233920	,5.84,EACH,2022-01-27
Tesco Pink Iced Ring Doughnut 4 Pack,255874565,57825170,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=255874565,True,0285390000000	,2.00,EACH,2022-01-27
Belgian Chocolate Muffins 4 Pack,263905005,62618892,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=263905005,True,0282060000000	,2.35,EACH,2022-01-27
Tesco Millionaire Bites 22 Pack,268770627,68021384,Any 2 For 4.00,6/5/2021,5/5/2022,https://www.tesco.ie/groceries/Product/Details/?id=268770627,True,5052320873920	,2.65,EACH,2022-01-27
Tesco Custard Doughnuts 4 Pack,306493108,87895950,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306493108,True,0289860000000	,1.00,EACH,2022-01-27
Tesco Jam Doughnuts 4 Pack,306499125,87860916,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306499125,True,0283010000000	,1.00,EACH,2022-01-27
Mr Kipling Fruit Pie Selection 6 Pack,254948307,50481822,SAVE 1.15 Was  3.15 Now  2.00,18/1/2022,14/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=254948307,True,5000221004769	,2.00,EACH,2022-01-27
Triple Chocolate Muffins 4 Pack,268563873,67819341,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=268563873,True,0283910000000	,2.35,EACH,2022-01-27
Tesco Finest Triple Chocolate Shortbreads 4 Pack,309465345,89595236,Any 2 For 4.00,1/11/2021,6/9/2022,https://www.tesco.ie/groceries/Product/Details/?id=309465345,True,NA,2.50,EACH,2022-01-27
Tesco Berliner Doughnuts 4 Pack,305969268,87877874,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=305969268,True,0288410000000	,2.00,EACH,2022-01-27
Tesco Pancakes 8 Pack,254329113,53151074,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=254329113,True,5031021673343	,0.89,EACH,2022-01-27
Cadbury Dairy Milk Doughnuts,306330498,87934375,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306330498,True,0283360000000	,2.50,EACH,2022-01-27
Tesco Milk Chocolate Cookie 5 Pack,276131923,73022099,Any 2 For 3.50,11/2/2021,5/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=276131923,True,0289610000000	,2.00,EACH,2022-01-27
Tesco Finest Milk Chocolate And Orange 4 Pack Cookies,309760030,89468670,Any 2 For 4.00,1/11/2021,6/9/2022,https://www.tesco.ie/groceries/Product/Details/?id=309760030,True,NA,2.50,EACH,2022-01-27
Tesco Blueberry Muffins 4 Pack,286865327,78290832,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=286865327,True,0286210000000	,2.35,EACH,2022-01-27
Tesco Sugar Ring Doughnuts 4 Pack,305970219,87859631,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=305970219,True,0283310000000	,1.00,EACH,2022-01-27
Tesco Double Chocolate Cookies 5 Pack,275156325,72538660,Any 2 For 3.50,11/2/2021,5/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=275156325,True,0289060000000	,2.00,EACH,2022-01-27
Tesco Finest Sticky Toffee 4 Pack Cookies,309754549,89439716,Any 2 For 4.00,1/11/2021,6/9/2022,https://www.tesco.ie/groceries/Product/Details/?id=309754549,True,NA,2.50,EACH,2022-01-27
Galberts Sweet Pancake 6 Pack 450G,268307613,55574774,SAVE 1.00 Was  3.50 Now  2.50,26/1/2022,22/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=268307613,True,5391501223643	,2.50,kg,2022-01-27
Galberts American Pancake 6 Pack 300G,268307521,59841452,SAVE 1.00 Was  3.50 Now  2.50,26/1/2022,22/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=268307521,True,5391501223667	,2.50,kg,2022-01-27
Galberts Mini Pancakes 200G,268402707,67662939,SAVE 1.00 Was  3.50 Now  2.50,26/1/2022,22/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=268402707,True,NA,2.50,kg,2022-01-27
Pat The Baker Pancakes 320G 6 Plus 2 Free,285711609,77713104,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=285711609,True,5011041002293	,2.49,g,2022-01-27
Tesco Finest 4 Pack Belgian White Chocolate And Honeycomb Cookies,309769055,89439653,Any 2 For 4.00,1/11/2021,6/9/2022,https://www.tesco.ie/groceries/Product/Details/?id=309769055,True,NA,2.50,EACH,2022-01-27
Oreo Muffin 2 Pack,305985571,87794188,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=305985571,True,0280320000000	,2.50,EACH,2022-01-27
Tesco Finest Sicilian Lemon Curd Muffins 2 Pack,304368278,86015445,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304368278,True,0284890000000	,2.10,EACH,2022-01-27
Tesco Potato Farls 4 Pack,305980599,87863602,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=305980599,True,5057753930271	,0.89,EACH,2022-01-27
Mccloskeys Pancakes 6 Pack,287691522,78684096,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=287691522,True,5099297003417	,2.45,EACH,2022-01-27
Mccloskeys Pancakes 4Pack,287691473,78684067,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=287691473,True,5099297003400	,2.45,EACH,2022-01-27
Tesco 6 Crumpets,304377935,86004412,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304377935,True,5057753921668	,0.80,EACH,2022-01-27
Duracell Plus Aa 8 Pack,251457737,51181726,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=251457737,True,5000394140899	,10.50,EACH,2022-01-27
Tesco Extra Long Life 9V 2 Pack,267376848,51437477,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=267376848,True,5052319423792	,3.05,EACH,2022-01-27
Tesco Extra Long Life Aaa 4 Pack,260253396,54703993,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=260253396,True,5051140103187	,3.05,EACH,2022-01-27
Duracell Plus Aa 4 Pack,251457616,50340425,Any 2 For 10.00,20/1/2022,23/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=251457616,True,5000394140851	,6.49,EACH,2022-01-27
Tesco Extra Long Life Aa 4 Pack,260253400,54704001,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=260253400,True,5051140103200	,3.05,EACH,2022-01-27
Energizer Max Aa 4 Pack,251568456,51623441,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=251568456,True,7638900426557	,5.49,EACH,2022-01-27
Duracell 2032,267489906,66769147,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=267489906,True,5000394203921	,5.50,EACH,2022-01-27
Duracell Plus 9V 2 Pack,251457927,51419643,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=251457927,True,5000394142268	,9.59,EACH,2022-01-27
Energizer Max 9V 2 Pack,256748103,58276609,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=256748103,True,7638900426533	,8.99,EACH,2022-01-27
Duracell Plus D 4 Pack,251458581,51181571,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=251458581,True,5000394142039	,9.59,EACH,2022-01-27
Tesco A4 White Paper 500 Sheets 70Gsm,253580351,55934026,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=253580351,True,5059316922044	,4.65,EACH,2022-01-27
Duracell Mn21 2 Pack,267495690,66774837,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=267495690,True,5000394203969	,5.50,EACH,2022-01-27
Duracell Plus Aaa 4 Pack,251456525,50577220,Any 2 For 10.00,20/1/2022,23/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=251456525,True,5000394141117	,6.49,EACH,2022-01-27
Energizer Power Plus Aa 4 Pack 2000 Mah,254908782,51227167,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=254908782,True,7638900417012	,12.49,EACH,2022-01-27
Duracell Lr1 2 Pack,267490211,66769458,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=267490211,True,5000394203983	,5.50,EACH,2022-01-27
Tesco 3 Way Adaptor Plug,255673708,50181175,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=255673708,True,0000003046128	,4.40,EACH,2022-01-27
Energizer Max Aaa 4 Pack,252678399,51767915,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=252678399,True,7638900426687	,5.49,EACH,2022-01-27
Tesco Shaver Adaptor Plug (Fused),255678248,50180752,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=255678248,True,0000003059081	,2.50,EACH,2022-01-27
S/Kopf Got2b Glued Spiking Glue 150Ml,260072003,58781443,SAVE 1.66 Was  5.95 Now  4.29,18/1/2022,14/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=260072003,True,5012583105084	,4.29,ml,2022-01-27
Bostik Blu Tack,252855800,52824311,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=252855800,True,5000399001003	,1.25,EACH,2022-01-27
Sellotape Gold 24Mm X 50M,267282354,66570531,SAVE 25% Was  2.00,20/1/2022,23/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=267282354,True,5010305049890	,1.50,EACH,2022-01-27
Tesco A4 Punch Pockets 50 Pack,259602087,63121256,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=259602087,True,5057967215843	,1.75,EACH,2022-01-27
Pritt Stick 43G,252864081,52825333,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=252864081,True,0000096010242	,3.50,EACH,2022-01-27
Crayola Colouring Pencils 12 Pack,256287521,51293755,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=256287521,True,5010065036123	,2.50,EACH,2022-01-27
Bostik White Tac Convenience Pack,259806284,63279806,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=259806284,True,5000403110417	,1.50,EACH,2022-01-27
Duracell Plus Aaa 8 Pack,251457426,54238564,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=251457426,True,5000394141179	,10.50,EACH,2022-01-27
John Freida Luxurious Volume Perfectly Full Mousse 200Ml,293534784,62555049,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=293534784,True,5037156229127	,7.99,ml,2022-01-27
S/Kopf Got2b Powder'ful Volumising S/Powder 10G,268395098,67655608,SAVE 1.66 Was  5.95 Now  4.29,18/1/2022,14/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=268395098,True,7332531019330	,4.29,g,2022-01-27
Energizer Rechargeable Aa 1300 Mah 4 Pack,263811381,62527129,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=263811381,True,7638900424270	,7.50,EACH,2022-01-27
Duracell 123 2 Pack,267489640,66768880,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=267489640,True,5000394020320	,12.00,EACH,2022-01-27
Vo5 Extreme Style Matte Fibre 75Ml,273010604,71465286,Any 3 For 9.00,25/1/2022,14/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=273010604,True,0000050297474	,5.25,ml,2022-01-27
Tesco Led Candle 40W Bayonet Cap Cool White,303601908,86656302,Any 2 For 8.00,7/11/2021,27/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=303601908,True,5057967581061	,4.50,EACH,2022-01-27
Remington R4 Rotary Shaver,304478430,87066209,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304478430,True,5038061102307	,55.00,EACH,2022-01-27
Philips Nose Trimmer Nt3650,307109269,88395745,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=307109269,True,8710103924005	,19.30,EACH,2022-01-27
Tesco Led Mini Globe 40W Bayonet Cap,284606068,77179419,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=284606068,True,5057008678798	,6.50,EACH,2022-01-27
Tesco Switched 4 Way 1M Extra Lead,296369531,83050482,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=296369531,True,5059316578685	,10.50,EACH,2022-01-27
Tesco Led Filament Classic 40W Edison Screw Frosted,303601809,86656204,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=303601809,True,5057967580965	,5.00,EACH,2022-01-27
Tresemme Fast Dry 2000 9142Tu,290165390,79974402,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=290165390,True,3030053091424	,15.00,EACH,2022-01-27
Babyliss 5 In 1 Personal Trimmer Kit,304532591,87092886,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304532591,True,3030053370581	,23.00,EACH,2022-01-27
Calex Smart Candle Rgb Dimmable Small Edisonscrew,306828837,88251645,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306828837,True,8712879144830	,16.00,EACH,2022-01-27
Tesco A4 Subject Dividers 10 Part,262704452,61447421,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=262704452,True,5052003886001	,1.00,EACH,2022-01-27
T.Assorted Ballpoint Pens 10 Pack,252941393,56376068,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=252941393,True,4893855003724	,0.55,EACH,2022-01-27
Tesco White Dl Envelopes 50 Pack,265604905,64938976,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=265604905,True,5052003855205	,2.40,EACH,2022-01-27
Sellotape Sello Clear 24Mm X 50M,255368237,51076794,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=255368237,True,5010305050131	,2.50,EACH,2022-01-27
Tesco String 40M,251431898,50249275,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=251431898,True,0000003045015	,1.60,EACH,2022-01-27
Crayola Crayons 24 Pack,262543273,63550266,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=262543273,True,5010065000247	,2.00,EACH,2022-01-27
Bic Cristal Pens Black 10 Pack,263331384,62058246,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=263331384,True,3086120100032	,4.50,EACH,2022-01-27
Tesco Hb Pencils With Erasers 12 Pack Bulk Tray,257179890,58529260,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=257179890,True,5057967252008	,1.00,EACH,2022-01-27
Energizer Rechargeable Aaa 500Mah 4 Pack,263811369,62527106,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=263811369,True,7638900424256	,7.50,EACH,2022-01-27
Tesco Led Candle 40W Small Edisonscrew,284606022,77179379,Any 2 For 11.00,7/11/2021,27/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=284606022,True,5057008678750	,6.50,EACH,2022-01-27
Energizer Lithium Cr2032 4 Pack,301079354,85378903,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=301079354,True,7638900422993	,10.99,EACH,2022-01-27
Energizer Max Aa 12 Pack,277861466,73914789,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=277861466,True,7638900426625	,12.99,EACH,2022-01-27
Tesco Scss12 3L Slow Cooker,298468981,84082690,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=298468981,True,5057545350690	,19.00,EACH,2022-01-27
Tesco Led Candle 25W Small Edisonscrew,284606016,77179362,Any 2 For 11.00,7/11/2021,27/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=284606016,True,5057008656420	,6.50,EACH,2022-01-27
Tesco Led Filament Candle 25W Small Edisonscrew,294004000,81887635,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=294004000,True,5057008579576	,5.50,EACH,2022-01-27
Hp 364 Black Printer Ink Cartridge,259657632,63162414,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=259657632,True,0883585705023	,17.00,EACH,2022-01-27
Tesco White C5 Envelopes 25 Pack,259432178,62994636,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=259432178,True,5052003886193	,1.60,EACH,2022-01-27
Tesco Basic Leverarch File,252920090,56364704,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=252920090,True,5052319384390	,2.40,EACH,2022-01-27
Tesco Office Metal Stapler,251434238,50264210,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=251434238,True,5000358194845	,4.50,EACH,2022-01-27
Tesco White C6 Envelopes 25 Pack,266165489,65483492,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=266165489,True,5052004352918	,1.20,EACH,2022-01-27
